kcet,college
70.2686,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
58.486924,"Kavi Kulguru Institute of Technology & Science, Ramtek"
66.3655193,"Aditya Engineering College , Beed"
36.66,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Engineering, Nagpur"
78.457,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
84.7935662,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
30.8144377,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana"
53.877016,"International Centre of Excellence in Engineering & Management, Aurangabad."
62.674,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur"
42.2361913,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana"
61.5542826,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
7.704062,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
68.93028,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
60.240942,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
62.8538,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
38.9037753,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
19.0588269,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
83.018,"R. C. Patel Institute of Technology, Shirpur"
57.4122086,"Sanmati Engineering College, Sawargaon Barde, Washim"
75.5168993,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
48.3473708,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
32.2393053,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar"
7.0432,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
30.5946,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
46.9304694,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
30.4668207,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
39.1673,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
25.695053,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
77.0543803,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
62.6996082,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
74.4986711,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
31.3409326,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
26.528609,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad"
39.8680504,"Universal College of Engineering,Kaman Dist. Palghar"
48.8057,"Vishwabharati Academy's College of Engineering, Ahmednagar"
26.34792,"Anjuman College of Engineering & Technology, Nagpur"
16.6885,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
0.211,"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur"
64.064005,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
6.9288037,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon"
12.05217,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
73.1407921,"Dnyanshree Institute Engineering and Technology, Satara"
71.8658343,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad"
41.3457848,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
23.6593208,"Nagnathappa Halge Engineering College, Parli, Beed"
27.4530536,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
54.585,"Shri Gulabrao Deokar College of Engineering, Jalgaon"
21.1202682,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
85.9283909,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
10.6370806,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"
21.1890674,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
78.4223981,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
81.4423209,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
20.9576849,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
